mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,all,12,0.9745366,,1
easy,all,13,0.9520111,,1
easy,all,14,0.956802,,1
easy,all,15,0.96241385,,1
easy,all,16,0.9828216,,1
easy,all,17,0.9659616,,1
easy,all,18,0.97323096,,1
easy,all,19,0.96642506,,1
easy,all,20,0.9575067,,1
easy,all,21,0.9710131,,1
easy,all,22,0.97877926,,1
easy,all,23,0.9505775,,1
easy,all,24,0.96233386,,1
easy,all,25,0.94108987,,1
easy,all,26,0.9712559,,1
easy,all,27,0.95239955,,1
easy,all,28,0.9828151,,1
easy,all,29,0.96451265,,1
easy,all,30,0.9641007,,1
easy,all,31,0.97314227,,1
easy,all,32,0.9747396,,1
easy,all,33,0.9689448,,1
easy,all,34,0.9701878,,1
easy,all,35,0.9782254,,1
easy,all,36,0.9732726,,1
easy,all,37,0.91567856,,1
easy,all,38,0.9761665,,2
easy,all,39,0.9887332,,1
easy,all,40,0.9657563,,1
easy,all,41,0.9600566,,1
easy,all,42,,,0
easy,all,43,0.9244266,,1
easy,all,44,0.9710649,,1
easy,all,45,0.9665216,,1
easy,all,46,0.9619076,,1
easy,all,47,0.9675615,,1
easy,all,48,0.95770407,,1
easy,all,49,0.98131233,,3
easy,all,50,0.9844972,,1
easy,all,51,0.9758002,,1
medium,simple,0,0.9329998,0.96949965,3
medium,simple,1,0.9329998,0.96949965,3
medium,simple,2,0.9793506,,1
medium,simple,3,0.9793506,,1
medium,simple,4,0.98584634,,1
medium,simple,5,0.98584634,,1
medium,simple,6,0.9786072,0.96140975,2
medium,simple,7,0.9786072,0.96140975,2
medium,simple,8,0.95608515,,1
medium,simple,9,0.95608515,,1
medium,simple,10,0.9777565,0.91949016,2
medium,simple,11,0.9777565,0.91949016,2
medium,simple,12,0.96382046,0.97691745,2
medium,simple,13,0.96382046,0.97691745,2
medium,simple,14,0.9695973,,1
medium,simple,15,0.9695973,,1
medium,simple,16,0.96948993,0.9863836,2
medium,simple,17,0.96948993,0.9863836,2
medium,simple,18,0.95927507,0.9808467,2
medium,simple,19,0.95927507,0.9808467,2
medium,simple,20,0.97383857,0.9393187,2
medium,simple,21,0.97383857,0.9393187,2
medium,simple,22,0.972945,,1
medium,simple,23,0.972945,,1
medium,simple,24,0.9664184,,1
medium,simple,25,0.9664184,,1
medium,simple,26,0.93842745,0.9826209,2
medium,simple,27,0.94474196,0.9854499,2
medium,simple,28,0.97090054,,1
medium,simple,29,0.97090054,,1
medium,simple,30,0.96366954,0.9869137,2
medium,simple,31,0.96366954,0.9869137,2
medium,simple,32,0.9452541,,1
medium,simple,33,0.94526494,,1
medium,simple,34,0.9777259,0.9476101,3
medium,simple,35,0.9777259,0.9476101,3
medium,simple,36,0.9715071,,1
medium,simple,37,0.9715071,,1
medium,simple,38,0.9527258,,1
medium,simple,39,0.9527258,,1
medium,simple,40,0.9577457,,1
medium,simple,41,0.9577457,,1
medium,simple,42,0.9588122,,1
medium,simple,43,0.9588122,,1
medium,simple,44,0.9774033,0.90951353,2
medium,simple,45,0.9774033,0.90951353,2
medium,simple,46,0.97593695,,1
medium,simple,47,0.97593695,,1
medium,simple,48,0.95124996,,1
medium,simple,49,0.9892385,,1
medium,simple,50,0.94193053,0.97706527,2
medium,simple,51,0.94193053,0.97706527,2
medium,action+layout,0,0.9606636,0.9769362,2
medium,action+layout,1,0.97387815,0.9732746,2
medium,action+layout,2,0.93711865,0.96040535,2
medium,action+layout,3,0.93099284,,1
medium,action+layout,4,0.9686805,,1
medium,action+layout,5,0.9826509,,1
medium,action+layout,6,0.95110404,,1
medium,action+layout,7,0.96961606,0.973667,2
medium,action+layout,8,0.96507525,,1
medium,action+layout,9,0.97979283,,1
medium,action+layout,10,0.9879195,,1
medium,action+layout,11,0.9699264,0.9723519,2
medium,action+layout,12,0.9827222,0.9877066,2
medium,action+layout,13,0.98552877,,1
medium,action+layout,14,0.96515316,,1
medium,action+layout,15,0.9804988,,1
medium,action+layout,16,0.97803545,0.9776097,2
medium,action+layout,17,0.96752644,0.9885299,2
medium,action+layout,18,0.9739347,0.964903,2
medium,action+layout,19,0.96816015,,1
medium,action+layout,20,0.933724,0.95880234,3
medium,action+layout,21,0.9681389,0.9812467,2
medium,action+layout,22,0.96798545,,1
medium,action+layout,23,0.96079373,0.96479553,2
medium,action+layout,24,0.96951956,,1
medium,action+layout,25,0.968239,0.90153044,3
medium,action+layout,26,0.9715678,0.9808272,2
medium,action+layout,27,0.96425027,,1
medium,action+layout,28,0.95635253,,1
medium,action+layout,29,0.9770921,,1
medium,action+layout,30,0.9664316,0.93409663,2
medium,action+layout,31,0.97671914,0.9213966,2
medium,action+layout,32,0.9426826,0.95509636,2
medium,action+layout,33,0.929264,,1
medium,action+layout,34,0.95843405,0.9737038,2
medium,action+layout,35,0.96478367,,1
medium,action+layout,36,0.95558614,,1
medium,action+layout,37,0.9418026,,1
medium,action+layout,38,0.9796381,0.8532656,2
medium,action+layout,39,0.94970685,0.8292469,3
medium,action+layout,40,0.9572399,,1
medium,action+layout,41,0.9090709,,1
medium,action+layout,42,0.9671658,,1
medium,action+layout,43,0.966522,,1
medium,action+layout,44,0.96658367,,1
medium,action+layout,45,0.96819925,0.91297483,2
medium,action+layout,46,0.93088496,,1
medium,action+layout,47,0.96355295,,1
medium,action+layout,48,0.97373533,,1
medium,action+layout,49,0.9743373,,1
medium,action+layout,50,0.9674591,0.9777957,2
medium,action+layout,51,0.97427535,,1
medium,action+expression,0,0.97419804,,1
medium,action+expression,1,0.96917164,0.95784503,3
medium,action+expression,2,0.9722587,0.38644648,2
medium,action+expression,3,0.96075976,,1
medium,action+expression,4,0.98120034,0.9708022,3
medium,action+expression,5,0.9340837,0.9496353,3
medium,action+expression,6,0.97539014,0.9737872,2
medium,action+expression,7,0.9714443,0.94047195,3
medium,action+expression,8,0.9772571,0.96558744,2
medium,action+expression,9,0.97837204,,1
medium,action+expression,10,0.95932746,0.9658515,2
medium,action+expression,11,0.9775693,0.9826757,2
medium,action+expression,12,0.9844719,0.982526,2
