mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,action+expression,4,0.918181,,1
easy,action+expression,5,0.97203654,,1
easy,action+expression,6,0.96239144,,2
easy,action+expression,7,0.95567137,,1
easy,action+expression,8,0.97246796,,1
easy,action+expression,9,0.9598474,,2
easy,action+expression,10,0.97007734,,1
easy,action+expression,11,0.9721466,,1
easy,action+expression,12,0.9870605,,1
easy,action+expression,13,0.9646131,,1
easy,action+expression,14,0.9534679,,1
easy,action+expression,15,0.97243655,,1
easy,action+expression,16,0.9642955,,10
easy,action+expression,17,0.9706544,,29
easy,action+expression,18,0.96050864,,1
easy,action+expression,19,0.98448634,,1
easy,action+expression,20,0.97660244,,1
easy,action+expression,21,0.9737006,,1
easy,action+expression,22,0.95346844,,1
easy,action+expression,23,0.976619,,1
easy,action+expression,24,0.8570205,,1
easy,action+expression,25,0.9677607,,1
easy,action+expression,26,0.9578411,,1
easy,action+expression,27,0.9298119,,1
easy,action+expression,28,0.97954065,,1
easy,action+expression,29,0.96922857,,1
easy,action+expression,30,0.90689,,1
easy,action+expression,31,,,0
easy,action+expression,32,,,0
easy,action+expression,33,0.97174287,,1
easy,action+expression,34,0.9614222,,1
easy,action+expression,35,,,0
easy,action+expression,36,0.97774434,,2
easy,action+expression,37,0.9724624,,1
easy,action+expression,38,0.97119874,,1
easy,action+expression,39,0.97758466,,1
easy,action+expression,40,0.9794007,,1
easy,action+expression,41,0.9493613,,1
easy,action+expression,42,0.97246814,,1
easy,action+expression,43,0.98090327,,1
easy,action+expression,44,0.9796259,,1
easy,action+expression,45,0.9647353,,1
easy,action+expression,46,0.9621382,,1
easy,action+expression,47,0.9551388,,7
easy,action+expression,48,0.9476231,,2
easy,action+expression,49,0.98062235,,1
easy,action+expression,50,0.9840452,,1
easy,action+expression,51,0.975576,,1
easy,action+background,0,0.97026384,,2
easy,action+background,1,0.965631,,1
easy,action+background,2,0.89519495,,1
easy,action+background,3,0.9135577,,1
easy,action+background,4,0.95502687,,1
easy,action+background,5,0.896949,,1
easy,action+background,6,0.9178622,,1
easy,action+background,7,,,0
easy,action+background,8,0.92936677,,1
easy,action+background,9,0.9147223,,1
easy,action+background,10,0.9630952,,1
easy,action+background,11,0.97934526,,1
easy,action+background,12,0.9819014,,1
easy,action+background,13,0.97267926,,1
easy,action+background,14,,,0
easy,action+background,15,0.9395485,,1
easy,action+background,16,,,0
easy,action+background,17,0.9555688,,4
easy,action+background,18,0.98080665,,1
easy,action+background,19,0.97302485,,1
easy,action+background,20,0.9711639,,1
easy,action+background,21,0.9665517,,1
easy,action+background,22,0.97275484,,1
easy,action+background,23,0.9507962,,1
easy,action+background,24,0.85743034,,1
easy,action+background,25,0.90021753,,1
easy,action+background,26,0.97594106,,1
easy,action+background,27,,,0
easy,action+background,28,0.94583535,,1
easy,action+background,29,0.97384816,,1
