method,mode,prompt_type,id_,01,02,03,04,05,06,07,08,09,10,11,12
01_CustomDiffusion,hard,all,81,4.0,2.0,2.0,3.0,5.0,7.0,6.0,4.0,8.0,9.0,4.0,7.0
01_CustomDiffusion,hard,all,82,3.0,3.0,1.0,2.0,4.0,7.0,6.0,2.0,7.0,8.0,2.0,5.0
01_CustomDiffusion,hard,all,88,3.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0,1.0,4.0
01_CustomDiffusion,hard,simple,1,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,5.0,4.0,1.0,3.0
01_CustomDiffusion,hard,simple,20,1.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,8.0,4.0,1.0,4.0
01_CustomDiffusion,hard,simple,40,2.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,4.0
01_CustomDiffusion,hard,simple,47,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0
01_CustomDiffusion,hard,simple,58,1.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,1.0,5.0
01_CustomDiffusion,hard,simple,77,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0
01_CustomDiffusion,hard,simple,79,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0
01_CustomDiffusion,hard,simple,89,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
01_CustomDiffusion,medium,action+background,10,3.0,3.0,1.0,4.0,3.0,5.0,6.0,3.0,9.0,7.0,2.0,4.0
01_CustomDiffusion,medium,action+background,15,4.0,3.0,2.0,2.0,3.0,6.0,9.0,2.0,10.0,8.0,3.0,5.0
01_CustomDiffusion,medium,action+background,30,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,5.0
